Call Number/ID,image files,image labels,Repository Country,Repository City,Repository Name,Source Collection,Facets,Date (narrative),Date (range) start,Date (range) end,Page dimensions,Note(s),Support Material,Language,Place of origin,Script,Creator,Creator Role,Former Owner,FO Ref,Manuscript Name
Lewis E M 1:10,mcai010101.tif|mcai010102.tif|,Lewis E M 1.10  front|Lewis E M 1.10 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,122 x 112 mm,"Initial F | This decorated initial originally belonged to a choir book, most likely an antiphonary or a gradual. The text has yet to be determined.|This image shows the reverse of a cutting with a decorated initial from a choir book.|",Parchment,Latin,Germany or Austria,Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 1:10,mcai010101.tif|mcai010102.tif|,Lewis E M 1.10  front|Lewis E M 1.10 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Germany, German, Song book, Musical notation, Fragment",,,,,,,,,,,,,,
Lewis E M 1:11,mcai010111.tif|mcai010112.tif|,Lewis E M 1.11  front|Lewis E M 1.11 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1440,1460,95 x 252 mm,"Initial F with the Anna Selbdritt | This initial contains the image known as Anna Selbdritt. 'Selbdrit' is a German term roughly translated as 'three-selves' and meant to illustrate St. Anne's role in sacred history as the Mother of the Virgin Mary. The image is related to the theme of Christ's holy kinship. St. Anne was a popular saint in the late Middle Ages. The initial may have originally belonged in a hagiographical manuscript, perhaps containing a text like the Golden Legend of Jacobus de Voragine.|This image shows the reverse of a cutting with an historiated initial from an unidentified hagiographic text, possible a Saint's Lives.|",Parchment,German,"Vienna, Austria",Cursive,Mosemaster,Artist,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Lives of the Saints
Lewis E M 1:11,mcai010111.tif|mcai010112.tif|,Lewis E M 1.11  front|Lewis E M 1.11 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Austria, Austrian, Saint's Life, Biography, Fragment",,,,,,,,,,,,,,
Lewis E M 1:12,mcai010121.tif|mcai010122.tif|,Lewis E M 1.12  front|Lewis E M 1.12 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1440,1460,73 x 157 mm,"Initial D with a female saint, possibly St. Dorothy | This initial may have originally belonged in a hagiographical manuscript, perhaps containing a text like the Golden Legend of Jacobus de Voragine. St. Dorothy was a popular saint in the late Middle Ages.|This image shows the reverse of a cutting with an historiated initial from a hagiographic text, possibly a Saint's Lives.|",Parchment,German,"Vienna, Austria",Cursive,Augustinus Master,Artist,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Lives of the Saints
Lewis E M 1:12,mcai010121.tif|mcai010122.tif|,Lewis E M 1.12  front|Lewis E M 1.12 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Austria, Austrian, Saint's Life, Biography, Fragment",,,,,,,,,,,,,,
Lewis E M 1:13,mcai010131.tif|,Lewis E M 1.13  front|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1440,1460,85 x 182 mm,"Initial D with the Annunciation | This initial may have originally belonged in a hagiographical manuscript, perhaps containing a text like the Golden Legend of Jacobus de Voragine. This initial may have begun the legends associated with the feast of the Annunciation.|",Parchment,German,"Vienna, Austria",,Maximilian Schoolbooks Master,Artist,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Lives of the Saints
Lewis E M 1:13,mcai010131.tif|,Lewis E M 1.13  front|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Austria, Austrian, Saint's Life, Biography, Fragment",,,,,,,,,,,,,,
Lewis E M 1:14,mcai010141.tif|,Lewis E M 1.14 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1440,1460,75 x 165 mm,"Initial D with St. Augustine of Hippo | This initial may have originally belonged in a hagiographical manuscript, perhaps containing a text like the Golden Legend of Jacobus de Voragine. This initial may have begun the account of the life of St. Augustine of Hippo.|",Parchment,,"Vienna, Austria",,Augustinus Master,Artist,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Lives of the Saints
Lewis E M 1:14,mcai010141.tif|,Lewis E M 1.14 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Austria, Austrian, Saint's Life, Biography, Fragment",,,,,,,,,,,,,,
Lewis E M 1:15,mcai010151.tif|,Lewis E M 1.15|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,76 x 115 mm,"Initial D with St. Peter | This initial may have originally belonged in a hagiographical manuscript, perhaps containing a text like the Golden Legend of Jacobus de Voragine. This initial may have begun the account of the life of St. Peter the Apostle.|",Parchment,Latin,"Vienna?, Austria",,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Lives of the Saints
Lewis E M 1:15,mcai010151.tif|,Lewis E M 1.15|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Austria, Austrian, Saint's Life, Biography, Fragment",,,,,,,,,,,,,,
Lewis E M 1:15A,mcai010153.tif|,Lewis E M 1.15A|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1475,1499,124 x 217 mm,"Initial P with the Nativity and Annunciation to the Shepherds and St. Helena holding the True Cross | The theme of the initial, the Nativity with the Annunciation to the Shepherds, and the letter P indicate that this initial may have originally belonged in a gradual where it began the Introit for the Third Mass for Christmas Day, 'Puer natus est nobis ...' (For our sake a child is born). | This cutting can be dated to ca. 1480.|",Parchment,Latin,"Middle Rhine, Germany",,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Gradual
Lewis E M 1:15A,mcai010153.tif|,Lewis E M 1.15A|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Gradual, Germany, German, Musical notation, Fragment",,,,,,,,,,,,,,
Lewis E M 1:16,mcai010161.tif|mcai010162.tif|,Lewis E M 1.16  front|Lewis E M 1.16 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1485,1499,72 x 85 mm,"Initial O | This initial originally belonged in some type of choir book, probably a gradual or an antiphonary.|This image shows the reverse of a cutting with a decorated initial from a choir book.|",Parchment,Latin,Austria ?,Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 1:16,mcai010161.tif|mcai010162.tif|,Lewis E M 1.16  front|Lewis E M 1.16 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Austria, Austrian, Song book, Musical notation, Fragment",,,,,,,,,,,,,,
Lewis E M 1:17,mcai010173.tif|mcai010174.tif|mcai010175.tif|mcai010176.tif|,Lewis E M 1.17 front a|Lewis E M 1.17 reverse a|Lewis E M 1.17 front b|Lewis E M 1.17 reverse b|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1500,1515,109 x 107 mm,Initial S | Textual evidence indicates that this initial originally belonged in a gradual. | This cutting can be dated to 1515.|This cutting can be dated to 1515. | This image shows the reverse of a cutting with a decorated initial from a gradual.|Initial G | Textual evidence indicates that this initial originally belonged in a gradual. | This cutting can be dated to 1515.|This cutting can be dated to 1515. | This image shows the reverse of a cutting with a decorated initial from a gradual.|,Parchment,Latin,"Augsburg, Germany",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Missal
Lewis E M 1:17,mcai010173.tif|mcai010174.tif|mcai010175.tif|mcai010176.tif|,Lewis E M 1.17 front a|Lewis E M 1.17 reverse a|Lewis E M 1.17 front b|Lewis E M 1.17 reverse b|,United States,Philadelphia,Free Library of Philadelphia,,"16th century, Germany, German, Missal, Liturgy, Illustration, Fragment",,,,,,,,,,,,,,
Lewis E M 1:18,mcai010181.tif|mcai010182.tif|,Lewis E M 1.18  front|Lewis E M 1.18 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1500,1525,63 x 101 mm,"The Virgin and Child | This cutting can be dated to ca. 1520. | This miniature contains no text to identify a source if it indeed came from a manuscript book. Rather, it may have served as a type of devotional image known by the German term 'Andachtsbild'. These images were used by individuals in private devotional practice. The Christ Child has a rosary around his neck. The original owner may have looked at this image while praying the Rosary, a common practice in the late Middle Ages.|Reverse of a cutting of The Virgin and Child &amp;#x0D; This cutting can be dated to ca. 1520.|",Parchment,,"Nuremberg, Germany",,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Devotional Image (Andachtsbild)
Lewis E M 1:18,mcai010181.tif|mcai010182.tif|,Lewis E M 1.18  front|Lewis E M 1.18 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"16th century, Illustration, Germany, German, Devotion, Fragment",,,,,,,,,,,,,,
Lewis E M 1:19,mcai010191.tif|mcai010192.tif|,Lewis E M 1.19  front|Lewis E M 1.19 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1525,1550,190 x 210 mm,Initial A with the Expulsion of Adam and Eve from Paradise | This cutting can be dated to ca. 1530. Paper was made in Nackel near Posen; identified by watermark of a crowned escutcheon containing a doubled cross. | This miniature and initial begin the Introit for the first Sunday of Advent: 'Ad te [levavi animam] meam' (All my heart goes out to thee). The Expulsion from Paradise is a fitting start to the Advent season as a reminder of why the Incarnation was needed.|This cutting can be dated to ca. 1530. Paper was made in Nackel near Posen; identified by watermark of a crowned escutcheon containing a doubled cross. | This image shows the reverse of an historiated initial from a gradual. The text is from a prayer said during Mass for the First Sunday in Advent.|,Parchment,Latin,Poland,Liturgical bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Gradual
Lewis E M 1:19,mcai010191.tif|mcai010192.tif|,Lewis E M 1.19  front|Lewis E M 1.19 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"16th century, Gradual, Poland, Polish, Liturgy, Watermark, Fragment",,,,,,,,,,,,,,
Lewis E M 1:20,mcai010201.tif|mcai010202.tif|,Lewis E M 1.20  front|Lewis E M 1.20 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1525,1550,194 x 287 mm,"Initial D with Angels Adoring the Christ Child | Paper was made in Nackel near Posen; identified by watermark of a crowned escutcheon containing a doubled cross. This cutting can be dated to ca. 1530. | This initial begins the Introit for the First Mass of Christmas Day, 'Domin[us] [di]xit ad me ...' (The Lord said to me).|Paper was made in Nackel near Posen; identified by watermark of a crowned escutcheon containing a doubled cross. This cutting can be dated to ca. 1530. | This image shows the reverse of an historiated initial from a gradual. The text is from a prayer said during the First Mass of Christmas Day.|",Parchment,Latin,Poland,Liturgical bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Gradual
Lewis E M 1:20,mcai010201.tif|mcai010202.tif|,Lewis E M 1.20  front|Lewis E M 1.20 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"16th century, Gradual, Poland, Polish, Liturgy, Watermark, Fragment",,,,,,,,,,,,,,
Lewis E M 1:21,mcai010211.tif|mcai010212.tif|,Lewis E M 1.21  front|Lewis E M 1.21 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1500,1599,265 x 186 mm,"Initial G with the Elect glorifying the Trinity | Paper was made in Nackel near Posen; identified by watermark of a crowned escutcheon containing a doubled cross. This cutting can be dated to ca. 1530. | This initial begins Introit for the feast of All Saints, 'Gaudeamus omnes in Domino ...' (Rejoice we all in the Lord).|Paper was made in Nackel near Posen; identified by watermark of a crowned escutcheon containing a doubled cross. This cutting can be dated to ca. 1530. | This image shows the reverse of an historiated initial from a gradual.|",Parchment,Latin,Poland,Liturgical bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Gradual
Lewis E M 1:21,mcai010211.tif|mcai010212.tif|,Lewis E M 1.21  front|Lewis E M 1.21 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"16th century, Gradual, Poland, Polish, Liturgy, Watermark, Fragment",,,,,,,,,,,,,,
Lewis E M 1:22,mcai010221.tif|mcai010222.tif|,Lewis E M 1.22  front|Lewis E M 1.22 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1525,1550,279 x 279 mm,"Initial S with kneeling figures receiving a vision of the Virgin and Child | Paper was made in Nackel near Posen; identified by watermark of a crowned escutcheon containing a doubled cross; Cutting can be dated to ca. 1530. | This initial begins the Introit for the Vigil of the feast of the Purification of the Virgin Mary (Feb. 2), 'Salve sancta parens enixa puerpera regem ...' (Hail, Holy Mother, in the womb there lay a king). Lewis E M 1:19-22 and E M 42:4-9 are from the same manuscript.|Paper was made in Nackel near Posen; identified by watermark of a crowned escutcheon containing a doubled cross; Cutting can be dated to ca. 1530. | This image shows the reverse of a cutting with an historiated initial from a gradual.|",Parchment,Latin,Poland,Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Gradual
Lewis E M 1:22,mcai010221.tif|mcai010222.tif|,Lewis E M 1.22  front|Lewis E M 1.22 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"16th century, Gradual, Poland, Polish, Liturgy, Watermark, Fragment",,,,,,,,,,,,,,
Lewis E M 1:23,mcai010231.tif|,Lewis E M 1.23 |,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1600,1750,,|,Parchment,Latin,Unknown,Roman,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,St. Notburga
Lewis E M 1:23,mcai010231.tif|,Lewis E M 1.23 |,United States,Philadelphia,Free Library of Philadelphia,,"17th century, 18th century, Biography, Saint's Life, Fragment",,,,,,,,,,,,,,
Lewis E M 1:24,mcai010241.tif|mcai010242.tif|,Lewis E M 1.24  front|Lewis E M 1.24 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1450,1499,163 x 236 mm,"Initial V with the Ascension | This cutting has been dated to the 1470s. | This initial begins the Introit for the feast of the Ascension, 'Viri Galilei quid admiramini aspicientes in celum ...' (Ye men of Galilee, why wonder you, looking up to heaven).|This cutting has been dated to the 1470s. | This image shows the reverse of an historiated initial from a missal.|",Parchment,Latin,"Nuremberg, Germany",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Missal
Lewis E M 1:24,mcai010241.tif|mcai010242.tif|,Lewis E M 1.24  front|Lewis E M 1.24 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Missal, Liturgy, Germany, German, Fragment",,,,,,,,,,,,,,
Lewis E M 1:25,mcai010251.tif|mcai010252.tif|,Lewis E M 1.25  front|Lewis E M 1.25 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,160 x 234 mm,"Initial S with the Resurrected Christ appearing to the Virgin | This initial begins the Introit for the Saturday Mass of the Virgin, 'Salve, sancta Parens, enixa puerpera Regem ...' (Hail, holy Parent, that didst bring forth the King). This leaf was cut from one manuscript and re-used as the binding for another book.|This image shows the reverse of a leaf from a missal that was re-used in the binding of another book.|",Parchment,Latin,"Tyrol?, Austria",Hybrida,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Missal
Lewis E M 1:25,mcai010251.tif|mcai010252.tif|,Lewis E M 1.25  front|Lewis E M 1.25 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Austria, Austrian, Missal, Liturgy, Fragment",,,,,,,,,,,,,,
Lewis E M 1:26,mcai010261.tif|mcai010262.tif|,Lewis E M 1.26  front|Lewis E M 1.26 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1450,1499,158 x 287 mm,Initial R with an angel holding a coat of arms | This initial is from an undetermined type of choir book. The coat of arms held by the angel and the initial's place within the liturgy have yet to be identified. | This leaf has been dated to the 1470s.|This image shows the reverse of a leaf from a choir book. | This leaf has been dated to the 1470s.|,Parchment,Latin,Germany (southern),Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 1:26,mcai010261.tif|mcai010262.tif|,Lewis E M 1.26  front|Lewis E M 1.26 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Germany, German, Song book, Musical notation, Fragment",,,,,,,,,,,,,,
Lewis E M 1:27,mcai010271.tif|mcai010272.tif|,Lewis E M 1.27  front|Lewis E M 1.27 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1475,1499,187 x 266 mm,"Initial L | This cutting has been dated to the 1480s. | This initial begins the first lesson of Matins for the feast of All Saints, 'Legimus in ecclesiasticis historiis ...' (We read in the histories of the church).|This cutting has been dated to the 1480s. | This image shows the reverse of a leaf from a breviary.|",Parchment,Latin,"Augsburg, Germany",Rotunda,"Baemler, follower of",Artist,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Breviary
Lewis E M 1:27,mcai010271.tif|mcai010272.tif|,Lewis E M 1.27  front|Lewis E M 1.27 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Breviary, Liturgy, Germany, German, Fragment",,,,,,,,,,,,,,
Lewis E M 1:28,mcai010281.tif|mcai010282.tif|,Lewis E M 1.28  front|Lewis E M 1.28 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1475,1499,153 x 186 mm,"Initial G | This cutting has been dated to the 1480s. | This initial begins the Introit for the feast of the Nativity of the Virgin, 'Gaudeamus omnes in Domino ...' (Let us all rejoice in the Lord).|This cutting has been dated to the 1480s. | This image shows the reverse of a cutting with a decorated initial from a missal.|",Parchment,Latin,"Augsburg, Germany",Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Missal
Lewis E M 1:28,mcai010281.tif|mcai010282.tif|,Lewis E M 1.28  front|Lewis E M 1.28 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Missal, Liturgy, Germany, German, Fragment",,,,,,,,,,,,,,
Lewis E M 1:29,mcai010291.tif|mcai010292.tif|,Lewis E M 1.29  front|Lewis E M 1.29 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1485,1499,208 x 140 mm,"In this initial, St. Andrew holds a book inscribed with both Latin and Greek verses. | Initial D with St. Andrew the Apostle|This image shows the reverse of a cutting with an historiated initial from a choir book.|",Parchment,Latin,Austria,,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 1:29,mcai010291.tif|mcai010292.tif|,Lewis E M 1.29  front|Lewis E M 1.29 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Austria, Austrian, Song book, Musical notation, Fragment",,,,,,,,,,,,,,
Lewis E M 2:1,mcai020011.tif|mcai020012.tif|,Lewis E M 2.1  front|Lewis E M 2.1 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,104 x 124 mm,"Initial A | This initial begins the first response of the first nocturn of Matins for the First Sunday in Advent, 'Aspiciens a longe ...' (Long had I been watching).|This image shows the reverse of a cutting with a decorated initial from an antiphonary.|",Parchment,Latin,Germany?,Liturgical bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
Lewis E M 2:1,mcai020011.tif|mcai020012.tif|,Lewis E M 2.1  front|Lewis E M 2.1 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Antiphonary, Germany, German, Liturgy, Fragment",,,,,,,,,,,,,,
Lewis E M 2:2,mcai020021.tif|mcai020022.tif|,Lewis E M 2.2  front|Lewis E M 2.2 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1325,1350,95 x 250 mm,"Initial I | This cutting has been dated to ca. 1340. | This initial is from the same antiphonary as Lewis E M 2:3, 4, and 6.|This cutting has been dated to ca. 1340. | This image shows the reverse of a cutting with a decorated initial from an antiphonary.|",Parchment,Latin,Germany (southern),Gothic bookhand,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Antiphonary
